id;tip;kod;ad;adres;telefon;il_kod;il_ad;ilce_kod;ilce_ad;mahalle_ad;lat;lon;hafta_ici;cumartesi;pazar;aktiflik;guncellenme_tarihi
3694;PTT_SUBE;7251;SOFULU  ŞUBESİ;ŞAHİNTEPE MAHALLESİ KOZAN BULVAR No: 4 - SARIÇAM ADANA;03223415025;1;ADANA;;;;37.030098;35.406656;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3693;PTT_SUBE;7264;SOLAKLI  ŞUBESİ;SOLAKLI CUMHURİYET MAHALLESİ ATATÜRK_1 BULVAR No: 17 YÜREĞİR ADANA;03223732407;1;ADANA;;;;36.806429504;35.335594515;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3690;PTT_SUBE;2829;TEKİR YAYLASI ŞUBESİ;AKÇATEKİR MAHALLESİ TOROS CADDE No: 51 POZANTI ADANA;03225840023;1;ADANA;;;;37.384632464;34.842936671;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3689;PTT_SUBE;6948;TELLİDERE  ŞUBESİ;FATİH MAHALLESİ MÜCAHİTLER CADDE No: 253 C SEYHAN ADANA;03222621001;1;ADANA;;;;37.019806;35.295767;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3688;PTT_SUBE;2854;TUFANBEYLİ  MÜDÜRLÜĞÜ;CUMHURİYET MAHALLESİ BAŞAK SOKAK No: 4 A TUFANBEYLİ ADANA;03227818001;1;ADANA;;;;38.254938;36.217106;08:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3687;PTT_SUBE;2833;TUFANPAŞA  ŞUBESİ;TÜRKELİ MAHALLESİ SAİMBEYLİ CADDE No: 257 H KOZAN ADANA;03225157055;1;ADANA;;;;37.461069;35.824251;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3686;PTT_SUBE;6102;TÜRKMENBAŞI  MÜDÜRLÜĞÜ;GÜRSELPAŞA MAHALLESİ 75422 SOKAK No: 5 B SEYHAN ADANA;03225037867;1;ADANA;;;;37.021382;35.278076;08:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3685;PTT_SUBE;7703;YAMAÇLI  ŞUBESİ;BAHÇELİEVLER MAHALLESİ SÜLEYMAN VAHİT CADDE No: 330 YÜREĞİR ADANA;03223211221;1;ADANA;;;;36.974261256;35.35539226;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3684;PTT_SUBE;2836;YAVUZLAR  ŞUBESİ;AKINCILAR MAHALLESİ 3979 SOKAK No: 2 YÜREĞİR ADANA;03223217152;1;ADANA;;;;36.99952364;35.349933648;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3683;PTT_SUBE;6976;YENİDOĞAN  ŞUBESİ;YENİDOĞAN MAHALLESİ 2180 SOKAK No: 1 YÜREĞİR ADANA;03223461770;1;ADANA;;;;36.987888;35.382784;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3682;PTT_SUBE;6937;YEŞİLYURT  ŞUBESİ;YEŞİLYURT MAHALLESİ 70082 SOKAK No: 10 A SEYHAN ADANA;03222262221;1;ADANA;;;;37.020068;35.312695;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3681;PTT_SUBE;2851;YUMURTALIK MÜDÜRLÜĞÜ;AYAS MAHALLESİ HÜSEYİN BAYKARA CADDE No: 24 YUMURTALIK ADANA;03226712003;1;ADANA;;;;36.767048;35.789125;08:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3680;PTT_SUBE;2853;YÜREĞİR MÜDÜRLÜĞÜ;P.T.T MAHALLESİ KOZAN CADDE No: 551 YÜREĞİR ADANA;03223289403;1;ADANA;;;;37.014039981;35.381187949;08:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3679;PTT_SUBE;3985;YÜREĞİR POSTA KARGO DAĞITIM  MÜDÜRLÜĞÜ;ÖZGÜR MAHALLESİ GİRNE BULVAR No: 111 YÜREĞİR ADANA;03223240018;1;ADANA;;;;36.987804;35.35479;08:30-17:30;08:30-17:30;KAPALI;1;2026-09-21 08:29:53
3678;PTT_SUBE;2924;ZEYTİNBELİ ACENTELİĞİ;ZEYTİNBELİ MAHALLESİ ATATÜRK ZEYTİNBELİ CADDE No: 2 YUMURTALIK ADANA;05365633149;1;ADANA;;;;36.811098;35.74005;09:00-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3735;PTT_SUBE;2908;ÇATALÇAM ACENTELİĞİ;ÇATALÇAM MAHALLESİ SARILAR KÜME EVLER No: 89 A TUFANBEYLİ ADANA;03220000000;1;ADANA;;;;38.19894201;36.08032608;09:00-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3734;PTT_SUBE;2310;ÇUKUROVA MÜDÜRLÜĞÜ;TOROS MAHALLESİ BARIŞ MANÇO BULVAR No: 9 ÇUKUROVA ADANA;03222310707;1;ADANA;;;;37.046332;35.297733;08:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3733;PTT_SUBE;8512;ÇUKUROVA POSTA KARGO DAĞITIM MÜDÜRLÜĞÜ;BELEDİYE EVLERİ MAHALLESİ HİLMİ KÜRKLÜ BULVAR No: 32 ÇUKUROVA ADANA;0;1;ADANA;;;;37.033939;35.26712;08:00-21:00/-;08:00-21:00/-;08:00-21:00/-;1;2026-09-21 08:29:53
